feature,importance
elevation,0.1147878759942821
elevation_squared,0.10204141564472606
SWIR2,0.05975149751847308
Red_homogeneity,0.05726425786601526
Red_entropy,0.04575722274797522
NDVI_mean_3yr_div_NDVI_contrast,0.0407547101330229
NDVI_mean_3yr_x_slope,0.039424354699618365
SWIR1,0.038036176833122576
Red_contrast_log,0.036513076970633565
Red,0.035189569791618205
Green,0.034329277983310015
slope,0.03270920618296041
NDVI_mean_3yr_log,0.03259962642537294
NDVI_2022,0.027655223615300727
Blue,0.027189421558225606
NDVI_mean_3yr_squared,0.026865286239053418
NDVI_mean_3yr,0.02681169270397913
NDVI_2023,0.023737240786493072
elevation_x_NDVI_mean_3yr,0.02358012450957158
BSI,0.020108816068351937
NIR,0.018935205640356733
NDMI,0.01688250808828824
NBR,0.016705901475166516
NDWI,0.01610314498158855
GNDVI,0.015938358237289795
EVI,0.01564526677924637
NDVI_2024,0.015571997046149255
NDVI,0.013856966597016842
SAVI,0.012802326853974736
EVI2,0.012452250028816874
